from_asset,to_asset,connection,dependency_score
77e10418-2b0f-45f2-afa7-2d5e089a96a5,c13b58b3-8304-4220-9147-c993728b0223,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->c13b58b3-8304-4220-9147-c993728b0223,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,c3233685-56a1-494a-83a0-85ccc3d2e87f,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->c3233685-56a1-494a-83a0-85ccc3d2e87f,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,c4e0419d-b7ea-48f6-a684-2a57fe8febe6,db010aeb-3f99-4a88-8db4-9df72e29efd0-->c4e0419d-b7ea-48f6-a684-2a57fe8febe6,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,c9cee7e5-0fe9-4c56-9856-b832d4bd8264,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->c9cee7e5-0fe9-4c56-9856-b832d4bd8264,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,ced88ddb-b675-4f2a-b90e-502c76aca54a,db010aeb-3f99-4a88-8db4-9df72e29efd0-->ced88ddb-b675-4f2a-b90e-502c76aca54a,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,d15c01ef-3be4-4cdd-93c0-522dd65e0447,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->d15c01ef-3be4-4cdd-93c0-522dd65e0447,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,d1f6dba8-c32c-4775-8e05-296594204454,db010aeb-3f99-4a88-8db4-9df72e29efd0-->d1f6dba8-c32c-4775-8e05-296594204454,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,d562e3d5-6e09-42a2-b507-803a210f73f9,db010aeb-3f99-4a88-8db4-9df72e29efd0-->d562e3d5-6e09-42a2-b507-803a210f73f9,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,d6793d9f-d7fb-42c4-bf69-8097e683b17c,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->d6793d9f-d7fb-42c4-bf69-8097e683b17c,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,e0029520-1113-401d-b4b6-d8c00c718047,db010aeb-3f99-4a88-8db4-9df72e29efd0-->e0029520-1113-401d-b4b6-d8c00c718047,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,e06bc905-8ec6-4969-a970-04c86f6af141,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->e06bc905-8ec6-4969-a970-04c86f6af141,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,e085e5bc-0280-40ec-ab0e-6c34076c6970,db010aeb-3f99-4a88-8db4-9df72e29efd0-->e085e5bc-0280-40ec-ab0e-6c34076c6970,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,e0e233b1-e3c2-4f26-8058-c8e8be47f4e2,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->e0e233b1-e3c2-4f26-8058-c8e8be47f4e2,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,e2f7b3fd-282c-4e4e-a535-d279169ae339,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->e2f7b3fd-282c-4e4e-a535-d279169ae339,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,e37433d0-0955-4e63-a5b9-851fc1a138b1,db010aeb-3f99-4a88-8db4-9df72e29efd0-->e37433d0-0955-4e63-a5b9-851fc1a138b1,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,e628a11f-0d9c-45a7-802b-75a3733f928a,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->e628a11f-0d9c-45a7-802b-75a3733f928a,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,ea64aaed-7f4b-4872-93c7-bf2dcf2abed2,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->ea64aaed-7f4b-4872-93c7-bf2dcf2abed2,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,ef22faaa-551d-4ecf-b5dc-f51634141a52,db010aeb-3f99-4a88-8db4-9df72e29efd0-->ef22faaa-551d-4ecf-b5dc-f51634141a52,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,f33d4060-b92b-45c6-bf72-c6ea939a7965,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->f33d4060-b92b-45c6-bf72-c6ea939a7965,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,f3f955b4-73dd-4729-bcb3-ce27ee8988ce,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->f3f955b4-73dd-4729-bcb3-ce27ee8988ce,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,f85dbfa5-4f8c-45a6-a0da-5a1f4e1bf290,db010aeb-3f99-4a88-8db4-9df72e29efd0-->f85dbfa5-4f8c-45a6-a0da-5a1f4e1bf290,3
7e36b821-5094-4421-8784-4c97a03e8a06,f92f7b91-ee21-4b0e-9336-5fde8205d3fc,7e36b821-5094-4421-8784-4c97a03e8a06-->f92f7b91-ee21-4b0e-9336-5fde8205d3fc,3
7e36b821-5094-4421-8784-4c97a03e8a06,00479645-36f3-4a3c-8823-0980baf22efa,7e36b821-5094-4421-8784-4c97a03e8a06-->00479645-36f3-4a3c-8823-0980baf22efa,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,058782df-dc85-48dc-8ccd-62e601cf15e0,db010aeb-3f99-4a88-8db4-9df72e29efd0-->058782df-dc85-48dc-8ccd-62e601cf15e0,3
7e36b821-5094-4421-8784-4c97a03e8a06,0d9d2f32-7dc3-4fe9-a3fc-7531d5d63014,7e36b821-5094-4421-8784-4c97a03e8a06-->0d9d2f32-7dc3-4fe9-a3fc-7531d5d63014,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,0e56ff65-b98d-4696-a826-166fc4f9986b,db010aeb-3f99-4a88-8db4-9df72e29efd0-->0e56ff65-b98d-4696-a826-166fc4f9986b,3
7e36b821-5094-4421-8784-4c97a03e8a06,1707a4c3-b12a-4d7a-adea-60ef45143e2a,7e36b821-5094-4421-8784-4c97a03e8a06-->1707a4c3-b12a-4d7a-adea-60ef45143e2a,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,1eafda81-e33e-494b-a17f-8273b735dd31,db010aeb-3f99-4a88-8db4-9df72e29efd0-->1eafda81-e33e-494b-a17f-8273b735dd31,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,263bc052-5c15-4ad3-a952-24b94ce49039,db010aeb-3f99-4a88-8db4-9df72e29efd0-->263bc052-5c15-4ad3-a952-24b94ce49039,3
7e36b821-5094-4421-8784-4c97a03e8a06,28020363-aade-4714-a7e8-68761d692fe9,7e36b821-5094-4421-8784-4c97a03e8a06-->28020363-aade-4714-a7e8-68761d692fe9,3
7e36b821-5094-4421-8784-4c97a03e8a06,2a237c82-6526-47ce-a460-d2abebfcf2f6,7e36b821-5094-4421-8784-4c97a03e8a06-->2a237c82-6526-47ce-a460-d2abebfcf2f6,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,2cb01a78-d265-41b1-9c3c-8e130fd1b241,db010aeb-3f99-4a88-8db4-9df72e29efd0-->2cb01a78-d265-41b1-9c3c-8e130fd1b241,3
7e36b821-5094-4421-8784-4c97a03e8a06,39daa40c-74b5-43a2-b504-dfaf524adbcc,7e36b821-5094-4421-8784-4c97a03e8a06-->39daa40c-74b5-43a2-b504-dfaf524adbcc,3
